cdptitle,carotenetitle,carotenecode
Account Executive,Account Executive, 41.8
Account Manager,Account Manager (Arts Design Entertainment Sports and Media), 27.76
Account Representative,Account Representative, 41.10013
Accountant,Accountant, 13.0
Accounting Assistant,Accounting Assistant, 43.32
Accounting Clerk,Accounting Clerk, 43.30174
Accounting Manager,Accounting Supervisor, 13.1106
Accounting Officer,Accounting Specialist, 13.1090
Accounting Supervisor,Accounting Supervisor, 13.1106
Accounts Payable Clerk,Accounts Payable Clerk, 43.9
Accounts Receivable Clerk,Accounts Receivable Representative, 43.153
Administrative Assistant,Administrative Assistant, 43.1
Administrative Secretary,Administrative Secretary, 43.170
Administrative Services Manager,Business Office Manager, 11.30635
Administrative Supervisor,Administrative Supervisor, 43.30368
Advertising Agent,Advertising Consultant, 41.31244
Aerospace Engineer,Aerospace Engineer, 17.38
Applications Developer,Application Developer, 15.24
Area Sales Managers,Area Supervisor (Sales and Related), 41.30616
Assembler,Production Assembler, 51.23
Assistant Retail Manager,Assistant Store Manager (Management), 11.117
Assistant Store Manager,Assistant Store Manager (Sales and Related), 41.3
Attorney,Attorney, 23.1012
Auditor,Auditor, 13.143
Auto Mechanic,Automotive Technician, 49.30
Automotive Technician,Automotive Technician, 49.30
Bank Manager,Bank Manager, 11.10180
Bank Teller,Bank Teller, 43.2
Banking Center Manager (BCM),Banking Center Manager, 11.30381
Barista,Barista, 35.53
Benefits Manager,Benefits Manager, 11.84
Benefits Specialist,Benefits Specialist, 13.1081
Billing Clerk,Billing Clerk, 43.39
Bookkeeper,Bookkeeper, 43.3
Branch Manager,Branch Manager, 11.9
Brand Manager,Brand Manager, 11.68
Business Analyst,Business Process Analyst, 13.1263
Business Development Manager,Business Development Manager (Sales and Related), 41.28
Business Manager,Business Office Manager, 11.30635
Business Systems Analyst,Business Systems Support Analyst, 15.313
Buyer,Buyer, 13.1003
Call Center Representative,Call Center Agent, 43.4
Cashier,Cashier, 35.1017
Catering Manager,Catering Manager (Food Preparation and Serving Related), 35.23
CDL Driver,Commercial Driver's License (CDL) Driver, 53.15
Certified Nursing Assistant (CNA),Certified Nursing Assistant (CNA), 31.0
Certified Public Accountant (CPA),Certified Public Accountant (CPA), 13.10450
Charge Nurse,Charge Nurse, 29.40
Chef,Chef, 35.10088
Chemical Technician,Chemical Technician, 19.17
Chemist,Chemist, 19.1
Civil Engineer,Civil Engineer, 17.14
Clerk,Clerk, 41.1033
Client Services Representative,Client Service Specialist (Office and Administrative Support), 43.156
Clinic Nurse,Patient Care Technician (Healthcare Practitioners and Technical), 29.23
Clinical Director,Clinical Director, 11.1034
Communications Technician,Computer Technician, 15.1106
Community Service Worker,Community Coordinator, 21.10752
