ID,Major,Minor,MinorTitle,GroupId,GroupTitle,CID
0,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",0,Sales Manager (Management),11
1,11,9000,Other Management Occupations,1,Project Manager (Management),11.1
2,11,9000,Other Management Occupations,2,General Manager (Management),11.2
3,11,9000,Other Management Occupations,3,Restaurant Manager (Management),11.3
4,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",4,Account Manager (Management),11.4
5,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",5,Marketing Manager (Management),11.5
6,11,3000,Operations Specialties Managers,6,Product Manager (Management),11.6
7,11,9000,Other Management Occupations,7,Program Manager (Management),11.7
8,11,3000,Operations Specialties Managers,8,Operations Manager (Management),11.8
9,11,3000,Operations Specialties Managers,9,Branch Manager,11.9
10,11,9000,Other Management Occupations,10,District Manager,11.1
11,11,3000,Operations Specialties Managers,11,Human Resources (HR) Manager (Management),11.11
12,11,1000,Top Executives,12,Vice President (VP),11.12
13,11,9000,Other Management Occupations,13,Business Development Manager (Management),11.13
14,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",14,Sales Executive (Management),11.14
15,11,9000,Other Management Occupations,15,Director of Nursing (Management),11.15
16,11,3000,Operations Specialties Managers,16,Human Resources (HR) Generalist,11.16
17,11,3000,Operations Specialties Managers,17,Director of Operations (Management),11.17
18,11,1000,Top Executives,18,Store Manager (Management),11.18
19,11,9000,Other Management Occupations,19,Property Manager,11.19
20,11,9000,Other Management Occupations,20,Finance Manager,11.2
21,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",21,Sales Director (Management),11.21
22,11,3000,Operations Specialties Managers,22,Relationship Manager (Management),11.22
23,11,9000,Other Management Occupations,23,Clinical Manager (Management),11.23
24,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",24,Marketing Director (Management),11.24
25,11,9000,Other Management Occupations,25,Executive Director,11.25
26,11,9000,Other Management Occupations,26,Engineering Manager,11.26
27,11,9000,Other Management Occupations,27,Medical Director,11.27
28,11,9000,Other Management Occupations,28,Assistant Director (Management),11.28
29,11,9000,Other Management Occupations,29,Community Manager,11.29
30,11,9000,Other Management Occupations,30,Construction Manager (Management),11.3
31,11,9000,Other Management Occupations,31,Risk Manager (Management),11.31
32,11,3000,Operations Specialties Managers,32,Practice Manager,11.32
33,11,9000,Other Management Occupations,33,Nurse Manager (Management),11.33
34,11,9000,Other Management Occupations,34,Director of Product Development,11.34
35,11,3000,Operations Specialties Managers,35,Training Manager (Management),11.35
36,11,3000,Operations Specialties Managers,36,Chief Financial Officer (CFO),11.36
37,11,9000,Other Management Occupations,38,Clinical Research Coordinator,11.38
38,11,3000,Operations Specialties Managers,39,Contract Manager (Management),11.39
39,11,3000,Operations Specialties Managers,40,Audit Manager,11.4
40,11,9000,Other Management Occupations,41,Office Manager (Management),11.41
41,11,3000,Operations Specialties Managers,42,Director of Finance,11.42
42,11,3000,Operations Specialties Managers,43,Credit Manager,11.43
43,11,9000,Other Management Occupations,44,Compliance Manager (Management),11.44
44,11,9000,Other Management Occupations,45,Project Coordinator (Management),11.45
45,11,9000,Other Management Occupations,46,Quality Assurance (QA) Manager (Management),11.46
46,11,9000,Other Management Occupations,47,Supply Chain Manager,11.47
47,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",48,Business Development Director,11.48
48,11,3000,Operations Specialties Managers,49,Human Resources (HR) Director,11.49
49,11,3000,Operations Specialties Managers,50,Purchasing Manager,11.5
50,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",51,Account Director,11.51
51,11,1000,Top Executives,52,Business Development Executive,11.52
52,11,9000,Other Management Occupations,53,College President,11.53
53,11,9000,Other Management Occupations,54,Health Services Director,11.54
54,11,9000,Other Management Occupations,55,Communications Manager (Management),11.55
55,11,3000,Operations Specialties Managers,56,Inventory Manager,11.56
56,11,9000,Other Management Occupations,57,Territory Manager,11.57
57,11,3000,Operations Specialties Managers,58,Tax Manager (Management),11.58
58,11,3000,Operations Specialties Managers,59,Acquisitions Manager,11.59
59,11,3000,Operations Specialties Managers,61,Warehouse Manager (Management),11.61
60,11,3000,Operations Specialties Managers,62,Merchandise Manager (Management),11.62
61,11,3000,Operations Specialties Managers,63,Logistics Manager (Management),11.63
62,11,9000,Other Management Occupations,64,Clinical Research Associate (CRA) (Management),11.64
63,11,9000,Other Management Occupations,65,Director of Admissions,11.65
64,11,3000,Operations Specialties Managers,66,Loan Administration Manager,11.66
65,11,3000,Operations Specialties Managers,67,Plant Manager,11.67
66,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",68,Brand Manager,11.68
67,11,3000,Operations Specialties Managers,69,Human Resources (HR) Business Partner,11.69
68,11,3000,Operations Specialties Managers,70,Systems Manager (Management),11.7
69,11,3000,Operations Specialties Managers,71,Procurement Manager,11.71
70,11,9000,Other Management Occupations,72,Nursing Home Administrator,11.72
71,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",73,Category Manager,11.73
72,11,3000,Operations Specialties Managers,74,Sourcing Manager,11.74
73,11,9000,Other Management Occupations,75,Director of Rehabilitation,11.75
74,11,9000,Other Management Occupations,76,Financial Center Manager,11.76
75,11,9000,Other Management Occupations,77,Portfolio Manager (Management),11.77
76,11,9000,Other Management Occupations,78,Financial Reporting Manager,11.78
77,11,9000,Other Management Occupations,80,Asset Manager,11.8
78,11,3000,Operations Specialties Managers,82,Collections Manager,11.82
79,11,3000,Operations Specialties Managers,83,Materials Manager,11.83
80,11,3000,Operations Specialties Managers,84,Benefits Manager,11.84
81,11,9000,Other Management Occupations,85,Manager of Financial Analysis and Planning,11.85
82,11,3000,Operations Specialties Managers,86,Staffing Manager (Management),11.86
83,11,9000,Other Management Occupations,87,Care Manager,11.87
84,11,9000,Other Management Occupations,88,Chief Operating Officer (COO),11.88
85,11,3000,Operations Specialties Managers,89,Recruiting Manager,11.89
86,11,9000,Other Management Occupations,90,Director of Engineering (Management),11.9
87,11,9000,Other Management Occupations,93,Residential Manager,11.93
88,11,3000,Operations Specialties Managers,94,Proposal Manager (Management),11.94
89,11,9000,Other Management Occupations,95,Project Director,11.95
90,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",96,Events Manager (Management),11.96
91,11,3000,Operations Specialties Managers,98,Lending Manager,11.98
92,11,3000,Operations Specialties Managers,99,Human Resources (HR) Leader (Management),11.99
93,11,9000,Other Management Occupations,100,Compliance Officer,11.1
94,11,3000,Operations Specialties Managers,101,Treasury Manager,11.101
95,11,9000,Other Management Occupations,102,Compliance Director,11.102
96,11,9000,Other Management Occupations,103,Director of Education (Management),11.103
97,11,9000,Other Management Occupations,104,Funeral Director,11.104
98,11,3000,Operations Specialties Managers,106,Contracts Administrator (Management),11.106
99,11,3000,Operations Specialties Managers,107,Transportation Manager (Management),11.107
100,11,9000,Other Management Occupations,108,School Director,11.108
101,11,3000,Operations Specialties Managers,109,Payroll Manager (Management),11.109
102,11,9000,Other Management Occupations,111,Executive Chef (Management),11.111
